sikuchoson,T,M,F,F_T,F_M,F_F,household
千葉市,984196,488455,495741,23769,11762,12007,452563
中央区,212921,106150,106771,4343,1965,2378,105900
花見川区,178631,88968,89663,4105,2108,1997,83028
稲毛区,161562,80520,81042,3441,1683,1758,75962
若葉区,149482,75588,73894,3643,1881,1762,67189
緑区,130006,63685,66321,1539,782,757,51583
美浜区,151594,73544,78050,6698,3343,3355,68901
銚子市,57151,27638,29513,2245,1196,1049,25702
市川市,497746,249668,248078,11418,5652,5766,248817
船橋市,642745,319114,323631,16575,8165,8410,297225
館山市,44450,21516,22934,356,114,242,20562
木更津市,136067,68564,67503,2513,1140,1373,59705
松戸市,492667,244134,248533,13679,6558,7121,233911
野田市,152205,75961,76244,3381,1796,1585,64842
茂原市,86285,42602,43683,1184,478,706,37724
成田市,130575,65004,65571,4892,2426,2466,59667
佐倉市,168645,82314,86331,3267,1549,1718,72215
東金市,57865,29130,28735,1546,825,721,26025
旭市,63230,31187,32043,1438,793,645,24568
習志野市,175410,87842,87568,4114,1922,2192,80124
柏市,435264,215465,219799,8569,4204,4365,196325
勝浦市,16639,8568,8071,151,76,75,8163
市原市,267860,137992,129868,5228,2458,2770,119644
流山市,201268,99250,102018,3016,1499,1517,85677
八千代市,200876,98886,101990,5689,2662,3027,86522
我孫子市,130305,63719,66586,1721,824,897,57202
鴨川市,31479,14907,16572,565,215,350,14619
鎌ケ谷市,109484,53443,56041,1481,656,825,47828
君津市,81252,41257,39995,949,381,568,35386
富津市,42088,21453,20635,525,296,229,18117
浦安市,170091,82833,87258,3536,1786,1750,81527
四街道市,93319,46251,47068,2182,1227,955,39242
袖ケ浦市,64012,32348,31664,867,420,447,25561
八街市,66065,33488,32577,2286,1192,1094,28360
印西市,104221,51340,52881,2197,1011,1186,39022
白井市,61526,30508,31018,1121,643,478,24303
富里市,49347,25046,24301,2357,1191,1166,21988
南房総市,35203,16763,18440,394,111,283,14891
匝瑳市,34237,16856,17381,490,211,279,13025
香取市,71068,35069,35999,915,446,469,27989
山武市,47897,23968,23929,1082,672,410,19929
いすみ市,35368,17204,18164,519,226,293,14986
大網白里市,47606,23325,24281,546,207,339,19952
酒々井町,20277,9990,10287,486,222,264,9261
栄町,19842,9738,10104,256,86,170,8493
神崎町,5645,2879,2766,84,46,38,2290
多古町,13675,6939,6736,438,249,189,5365
東庄町,13013,6428,6585,242,163,79,4751
九十九里町,14561,7179,7382,369,186,183,6320
芝山町,6884,3397,3487,189,83,106,2577
横芝光町,22172,10875,11297,420,224,196,8778
一宮町,11628,5658,5970,131,46,85,4900
睦沢町,6764,3269,3495,55,16,39,2512
長生村,13644,6740,6904,119,52,67,5403
白子町,10227,5094,5133,109,67,42,4249
長柄町,6610,3249,3361,94,48,46,2620
長南町,7344,3621,3723,41,18,23,2842
大多喜町,8721,4188,4533,84,44,40,3374
御宿町,6734,3189,3545,32,15,17,3066
鋸南町,6982,3369,3613,65,24,41,3163
